"","Group.1","sr87_86","SE.1s.","Li","B","Na","Mg","Al","K","Ca","Ti","V","Mn","Fe","Ni","Cu","Zn","As","Rb","Sr","Sb","Ba","La","Ce","Pr","Nd","Ho","Tl","Pb","U"
"1",1,0.71073,1e-05,6.66666666666667e-05,0.000666666666666667,0.323809523809524,0.256190476190476,0.000380952380952381,0.0904761904761905,21,3.80952380952381e-05,4.80952380952381e-05,1.52380952380952e-05,0.000571428571428571,1.66666666666667e-05,9.04761904761905e-05,0.000114285714285714,6.66666666666667e-05,0.000112857142857143,0.00576190476190476,2.04761904761905e-05,0.00122380952380952,9.52380952380952e-07,1.42857142857143e-06,1.9047619047619e-07,1.42857142857143e-06,0.00097147619047619,2.38095238095238e-07,4.76190476190476e-06,1.8952380952381e-05
"2",2,0.71068,1e-05,7.79220779220779e-05,0.000649350649350649,0.311688311688312,0.251082251082251,0.000432900432900433,0.0822510822510822,23.1,6.49350649350649e-05,4.71861471861472e-05,2.33766233766234e-05,0.000952380952380952,1.55844155844156e-05,4.32900432900433e-05,0.00016017316017316,6.06060606060606e-05,9.22077922077922e-05,0.00575757575757576,1.94805194805195e-05,0.00116883116883117,6.06060606060606e-07,8.65800865800866e-07,1.73160173160173e-07,1.2987012987013e-06,0.000687056277056277,2.5974025974026e-07,9.09090909090909e-06,1.96536796536797e-05
"3",3,0.71259,1e-05,0.000142857142857143,0.00171428571428571,0.771428571428571,0.508571428571429,0.00628571428571429,0.4,3.5,4e-04,0.00018,7.42857142857143e-05,0.0154285714285714,2.85714285714286e-05,0.000285714285714286,0.000314285714285714,5.71428571428571e-05,0.00126857142857143,0.0105714285714286,8.57142857142857e-06,0.00431428571428571,9.71428571428571e-06,1.42857142857143e-05,2.28571428571429e-06,8.57142857142857e-06,0.00499571428571429,2.57142857142857e-06,2.85714285714286e-05,4e-06
"4",4,0.71252,1e-05,0.000127659574468085,0.00127659574468085,0.468085106382979,0.412765957446808,0.00297872340425532,0.170212765957447,4.7,0.00025531914893617,1e-04,5.53191489361702e-05,0.0153191489361702,1.48936170212766e-05,0.000212765957446809,0.000170212765957447,0.000127659574468085,0.000465957446808511,0.00787234042553191,6.38297872340426e-06,0.0028936170212766,9.78723404255319e-06,1.70212765957447e-05,1.91489361702128e-06,8.51063829787234e-06,0.00347617021276596,8.51063829787234e-07,2.12765957446809e-05,4.46808510638298e-06
"5",5,0.71283,1e-05,0.000121212121212121,0.00181818181818182,0.878787878787879,0.518181818181818,0.00696969696969697,0.484848484848485,3.3,0.000424242424242424,0.000163636363636364,0.000190909090909091,0.0375757575757576,4.54545454545455e-05,0.000303030303030303,0.000303030303030303,6.06060606060606e-05,0.00155454545454545,0.0112121212121212,9.09090909090909e-06,0.00490909090909091,1.15151515151515e-05,1.51515151515152e-05,1.81818181818182e-06,9.09090909090909e-06,0.00519606060606061,3.63636363636364e-06,3.03030303030303e-05,3.03030303030303e-06
"6",6,0.71199,1e-05,0.000114285714285714,0.00171428571428571,0.885714285714286,0.528571428571429,0.00628571428571429,0.457142857142857,3.5,0.000371428571428571,0.00016,0.000197142857142857,0.0271428571428571,6.28571428571429e-05,0.000285714285714286,0.000914285714285714,5.71428571428571e-05,0.00140857142857143,0.0111428571428571,8.57142857142857e-06,0.00451428571428571,1.14285714285714e-05,2e-05,2.57142857142857e-06,1.14285714285714e-05,0.004714,2.85714285714286e-06,4.57142857142857e-05,3.42857142857143e-06
"7",7,0.71145,1e-05,0.000114285714285714,0.00171428571428571,0.942857142857143,0.557142857142857,0.00514285714285714,0.485714285714286,3.5,0.000371428571428571,0.000171428571428571,0.000145714285714286,0.0171428571428571,6e-05,0.000285714285714286,8e-04,5.71428571428571e-05,0.00139142857142857,0.0117142857142857,8.57142857142857e-06,0.00457142857142857,1.22857142857143e-05,2e-05,3.14285714285714e-06,9.71428571428571e-06,0.00469485714285714,3.14285714285714e-06,3.42857142857143e-05,8.28571428571429e-06
"8",8,0.71225,1e-05,0.000117647058823529,0.00176470588235294,0.882352941176471,0.526470588235294,0.00617647058823529,0.470588235294118,3.4,0.000441176470588235,0.000188235294117647,0.000132352941176471,0.0161764705882353,5.29411764705882e-05,0.000294117647058824,0.000588235294117647,5.88235294117647e-05,0.00147058823529412,0.0114705882352941,8.82352941176471e-06,0.00476470588235294,1.14705882352941e-05,2.05882352941176e-05,2.64705882352941e-06,9.70588235294118e-06,0.00490117647058824,2.64705882352941e-06,4.70588235294118e-05,3.82352941176471e-06
"9",10,0.7174,1e-05,0.00016,0.0024,0.88,0.46,0.0072,0.6,2.5,0.00076,0.00014,0.000272,0.0308,2.8e-05,4e-04,0.00056,8e-05,0.002228,0.0112,1.2e-05,0.00628,1.48e-05,2e-05,3.6e-06,1.2e-05,0.0065864,5.6e-06,4e-05,5.2e-06
"10",11,0.70827,2e-05,0.000127659574468085,0.00127659574468085,0.914893617021276,0.595744680851064,0.00404255319148936,0.382978723404255,4.7,0.000297872340425532,0.000163829787234043,0.000125531914893617,0.00787234042553191,9.57446808510638e-05,0.000425531914893617,0.00159574468085106,6.38297872340425e-05,0.000897872340425532,0.0117021276595745,6.38297872340426e-06,0.00351063829787234,5.1063829787234e-06,1.06382978723404e-05,8.51063829787234e-07,6.38297872340426e-06,0.00360978723404255,8.51063829787234e-07,6.80851063829787e-05,3.61702127659574e-06
