"rid", "binaryID"
390,1
385,10
389,11
323,100
324,101
326,110
388,111
322,1000
382,1001
384,1100
387,1101
380,10000
383,10001
373,10010
379,10011
321,11000
381,11001
325,11010
386,11011
360,100100
368,100101
319,100110
372,100111
320,110010
378,110011
350,1001000
364,1001001
318,1001100
377,1001101
313,10010000
342,10010001
317,10010010
365,10010011
375,10011010
376,10011011
312,100100000
348,100100001
367,100100110
369,100100111
371,100110100
374,100110101
339,1001000010
340,1001000011
316,1001101000
362,1001101001
309,10010000100
331,10010000101
315,10011010000
359,10011010001
356,10011010010
363,10011010011
273,100100001000
307,100100001001
296,100100001010
304,100100001011
353,100110100000
354,100110100001
275,100110100100
347,100110100101
43,1001000010000
262,1001000010001
349,1001101000000
352,1001101000001
260,1001101001000
263,1001101001001
328,1001101001010
344,1001101001011
251,10010000100000
271,10010000100001
250,10010000100010
256,10010000100011
335,10011010000000
341,10011010000001
248,10011010010000
258,10011010010001
231,100100001000000
243,100100001000001
265,100100001000010
274,100100001000011
222,100100001000100
238,100100001000101
336,100110100000010
338,100110100000011
239,100110100100000
245,100110100100001
249,100110100100010
255,100110100100011
225,1001000010000000
230,1001000010000001
252,1001000010000100
267,1001000010000101
286,1001000010000110
291,1001000010000111
193,1001000010001000
217,1001000010001001
234,1001000010001010
236,1001000010001011
330,1001101000000100
334,1001101000000101
314,1001101000000110
346,1001101000000111
237,1001101001000100
241,1001101001000101
39,10010000100000000
220,10010000100000001
40,10010000100001000
242,10010000100001001
282,10010000100001100
289,10010000100001101
30,10010000100010000
146,10010000100010001
305,10011010000001000
332,10011010000001001
272,10011010000001010
277,10011010000001011
355,10011010000001110
361,10011010000001111
205,100100001000000000
214,100100001000000001
207,100100001000000010
219,100100001000000011
229,100100001000010010
246,100100001000010011
47,100100001000011000
48,100100001000011001
31,100100001000100000
180,100100001000100001
21,100100001000100010
144,100100001000100011
303,100110100000010000
327,100110100000010001
357,100110100000011100
358,100110100000011101
37,1001000010000000100
181,1001000010000000101
227,1001000010000100110
244,1001000010000100111
46,1001000010000110000
268,1001000010000110001
49,1001000010000110010
290,1001000010000110011
137,1001000010001000010
172,1001000010001000011
138,1001000010001000110
141,1001000010001000111
300,1001101000000100000
302,1001101000000100001
182,10010000100000001000
211,10010000100000001001
155,10010000100000001010
191,10010000100000001011
228,10010000100001001110
247,10010000100001001111
51,10010000100001100100
52,10010000100001100101
279,10010000100001100110
288,10010000100001100111
130,10010000100010000100
133,10010000100010000101
27,10010000100010000110
185,10010000100010000111
53,10011010000001000000
281,10011010000001000001
26,100100001000000010000
161,100100001000000010001
132,100100001000000010100
154,100100001000000010101
223,100100001000010011100
226,100100001000010011101
297,100100001000011001010
301,100100001000011001011
285,100100001000011001110
299,100100001000011001111
116,100100001000100001000
126,100100001000100001001
166,100100001000100001100
175,100100001000100001101
284,100110100000010000000
292,100110100000010000001
18,1001000010000000101000
20,1001000010000000101001
200,1001000010000100111000
215,1001000010000100111001
224,1001000010000100111010
232,1001000010000100111011
306,1001000010000110010110
329,1001000010000110010111
12,1001000010001000010000
117,1001000010001000010001
111,1001000010001000010010
127,1001000010001000010011
174,1001000010001000011010
177,1001000010001000011011
50,1001101000000100000010
283,1001101000000100000011
128,10010000100000001010000
131,10010000100000001010001
310,10010000100001100101100
333,10010000100001100101101
345,10010000100001100101110
351,10010000100001100101111
87,10010000100010000100000
91,10010000100010000100001
108,10010000100010000100010
113,10010000100010000100011
103,10010000100010000100100
107,10010000100010000100101
158,10010000100010000110100
179,10010000100010000110101
209,10010000100010000110110
218,10010000100010000110111
287,10011010000001000000100
295,10011010000001000000101
254,10011010000001000000110
257,10011010000001000000111
311,100100001000011001011100
343,100100001000011001011101
366,100100001000011001011110
370,100100001000011001011111
13,100100001000100001000110
99,100100001000100001000111
8,100100001000100001001000
100,100100001000100001001001
25,100100001000100001101000
152,100100001000100001101001
28,100100001000100001101010
149,100100001000100001101011
280,100110100000010000001000
294,100110100000010000001001
308,100110100000010000001010
337,100110100000010000001011
233,100110100000010000001100
253,100110100000010000001101
14,1001000010001000010001100
114,1001000010001000010001101
85,1001000010001000010010000
86,1001000010001000010010001
29,1001000010001000011010100
139,1001000010001000011010101
22,1001000010001000011010110
124,1001000010001000011010111
269,1001101000000100000010000
276,1001101000000100000010001
235,1001101000000100000011010
240,1001101000000100000011011
118,10010000100010000100011000
122,10010000100010000100011001
10,10010000100010000100011010
95,10010000100010000100011011
3,10010000100010000100100010
82,10010000100010000100100011
32,10010000100010000110101000
190,10010000100010000110101001
102,10010000100010000110101010
120,10010000100010000110101011
42,10011010000001000000100010
266,10011010000001000000100011
105,100100001000100001000110100
115,100100001000100001000110101
5,100100001000100001000110110
97,100100001000100001000110111
2,100100001000100001001000100
77,100100001000100001001000101
189,100100001000100001101010010
194,100100001000100001101010011
7,100100001000100001101010100
94,100100001000100001101010101
110,100100001000100001101010110
119,100100001000100001101010111
270,100110100000010000001000100
278,100110100000010000001000101
15,1001000010001000010001101000
17,1001000010001000010001101001
79,1001000010001000010001101100
83,1001000010001000010001101101
66,1001000010001000010010001000
74,1001000010001000010010001001
71,1001000010001000010010001010
75,1001000010001000010010001011
169,1001000010001000011010100100
192,1001000010001000011010100101
197,1001000010001000011010100110
198,1001000010001000011010100111
11,1001000010001000011010101100
101,1001000010001000011010101101
16,1001000010001000011010101110
112,1001000010001000011010101111
41,1001101000000100000010001000
259,1001101000000100000010001001
293,1001101000000100000010001010
298,1001101000000100000010001011
1,10010000100010000100100010000
61,10010000100010000100100010001
69,10010000100010000100100010010
73,10010000100010000100100010011
167,10010000100010000110101001000
178,10010000100010000110101001001
33,10010000100010000110101001010
199,10010000100010000110101001011
6,10010000100010000110101011010
96,10010000100010000110101011011
106,10010000100010000110101011110
109,10010000100010000110101011111
44,10011010000001000000100010000
261,10011010000001000000100010001
56,100100001000100001001000100010
60,100100001000100001001000100011
63,100100001000100001001000100100
67,100100001000100001001000100101
151,100100001000100001101010010000
160,100100001000100001101010010001
202,100100001000100001101010010010
203,100100001000100001101010010011
35,100100001000100001101010010110
36,100100001000100001101010010111
89,100100001000100001101010110110
90,100100001000100001101010110111
9,100100001000100001101010111100
93,100100001000100001101010111101
121,100100001000100001101010111110
123,100100001000100001101010111111
45,100110100000010000001000100000
264,100110100000010000001000100001
54,1001000010001000010010001000110
59,1001000010001000010010001000111
0,1001000010001000010010001001000
65,1001000010001000010010001001001
23,1001000010001000011010100100000
24,1001000010001000011010100100001
159,1001000010001000011010100100010
165,1001000010001000011010100100011
72,1001000010001000011010101101110
78,1001000010001000011010101101111
4,1001000010001000011010101111010
88,1001000010001000011010101111011
129,1001000010001000011010101111100
135,1001000010001000011010101111101
57,10010000100010000100100010001110
62,10010000100010000100100010001111
140,10010000100010000110101001000010
153,10010000100010000110101001000011
170,10010000100010000110101001000110
187,10010000100010000110101001000111
84,10010000100010000110101011110110
92,10010000100010000110101011110111
136,10010000100010000110101011111010
148,10010000100010000110101011111011
55,100100001000100001001000100011100
58,100100001000100001001000100011101
64,100100001000100001001000100011110
68,100100001000100001001000100011111
164,100100001000100001101010010001100
176,100100001000100001101010010001101
34,100100001000100001101010010001110
204,100100001000100001101010010001111
70,100100001000100001101010111101100
81,100100001000100001101010111101101
98,100100001000100001101010111101110
104,100100001000100001101010111101111
143,100100001000100001101010111110110
150,100100001000100001101010111110111
147,1001000010001000011010100100011000
162,1001000010001000011010100100011001
210,1001000010001000011010100100011110
212,1001000010001000011010100100011111
76,1001000010001000011010101111011010
80,1001000010001000011010101111011011
134,1001000010001000011010101111101100
142,1001000010001000011010101111101101
156,10010000100010000110101001000110010
163,10010000100010000110101001000110011
19,10010000100010000110101011111011000
125,10010000100010000110101011111011001
145,100100001000100001101010010001100100
157,100100001000100001101010010001100101
168,100100001000100001101010010001100110
171,100100001000100001101010010001100111
173,1001000010001000011010100100011001100
184,1001000010001000011010100100011001101
206,1001000010001000011010100100011001110
208,1001000010001000011010100100011001111
188,10010000100010000110101001000110011000
195,10010000100010000110101001000110011001
183,100100001000100001101010010001100110000
186,100100001000100001101010010001100110001
196,100100001000100001101010010001100110010
201,100100001000100001101010010001100110011
213,1001000010001000011010100100011001100110
216,1001000010001000011010100100011001100111
38,10010000100010000110101001000110011001110
221,10010000100010000110101001000110011001111
